compound,auid,Egap,Egap_type,enthalpy_formation_atom,volume_atom,spacegroup_relax,Pearson_symbol_relax,aurl
Ag1Al2As1,aflow:95de001df6e478fc,,,0.150541,18.1863,47,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC015.BCA
Ag1Al2As1,aflow:97bd85599ec37ddc,,,-0.00132422,18.3031,10,mP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC010.BCA
Ag1Al2As1,aflow:998a7139815b52e3,0,metal,0.185965,18.2388,225,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/T0001.AB2C
Ag1Al2As1,aflow:a4136b84b4809ca5,,,0.0614063,18.4806,6,mP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC005.BCA
Ag1Al2As1,aflow:a42be77a18229b09,,,0.110616,17.8054,12,mS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC011.BCA
Ag1Al2As1,aflow:b51368ff3a8012c8,,,0.139787,18.113,119,tI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC008.BCA
Ag1Al2As1,aflow:be7d550fa71e6591,,,0.087449,17.9018,160,hR4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC004.BCA
Ag1Al2As1,aflow:bff90eb1178021b9,,,0.0971628,17.7173,12,mS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC014.BCA
Ag1Al2As1,aflow:d6ca67f1e1112772,,,0.0872603,17.7774,35,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TBCC004.BCA
Ag1Al2As1,aflow:f967544cbf2235a1,0,metal,0.815734,18.7263,216,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/T0002.AB2C:LDAU2
Ag1Al2As1,aflow:fc27c21da509341c,,,0.0854485,17.8223,8,mS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/TFCC006.BCA
Ag1Al2As2,aflow:80c11550cc3f4f04,,,0.182512,20.9459,139,tI10,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/T0011.BAC
Ag1Al2As2,aflow:f6e83d7e4ea65686,,,0.0513011,21.0582,139,tI10,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAs/T0011.CAB
Ag1Al2Au1,aflow:1dc35885ec88fbfc,,,-0.0764417,17.4765,47,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TBCC015.BCA
Ag1Al2Au1,aflow:214d41c271242cd0,,,-0.148178,17.1385,166,hR4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC009.BCA
Ag1Al2Au1,aflow:25f93816ceb40100,,,-0.139264,16.7615,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC016.BCA
Ag1Al2Au1,aflow:30327cb1af100650,,,-0.159131,17.075,10,mP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlAu/TFCC014.BCA
